nom,date,provincial_monitoring_fr
Sud-Kivu,07/06/2026,"Au total, 7 alertes ont été émises, toutes les 7 ont fait l'objet d'une enquête (100,0 %). Les cas validés comprenaient 1 vivant et 0 décédé, pour un total de 2 cas suspects. Les contacts suivis étaient au nombre de 226, dont 224 vus, pour un taux de suivi de 99,1 %."
Ituri,07/06/2026,"Au total, 153 alertes ont été émises, dont 116 ont fait l'objet d'une enquête (75,8 %). Les cas validés comprenaient 24 vivants et 9 décédés, pour un total de 33 cas suspects. Les contacts suivis étaient au nombre de 4 454, dont 2 678 vus, pour un taux de suivi de 60,1 %."
Ituri,08-06-2026,"Au total, 140 alertes ont été émises, dont 111 ont fait l'objet d'une enquête (taux d'enquête : 79,3 %). Les alertes validées comprenaient 58 vivants et 18 décédés, pour un total de 76 cas suspects de la journée. Les contacts suivis étaient au nombre de 4 752, dont 2 487 vus, pour un taux de suivi de 52,3 %."
North-Kivu,08-06-2026,"Au total, 265 alertes ont été émises, toutes ont fait l'objet d'une enquête (taux d'enquête : 100,0 %). Les alertes validées comprenaient 33 vivants et 2 décédés, pour un total de 56 cas suspects de la journée. Les contacts suivis étaient au nombre de 703, dont 533 vus, pour un taux de suivi de 75,8 %."
South-Kivu,08-06-2026,"Au total, 25 alertes ont été émises, toutes ont fait l'objet d'une enquête (taux d'enquête : 100,0 %). Les alertes validées incluaient 3 vivants et 0 décédé, pour un total de 6 cas suspects de la journée. Les contacts suivis étaient au nombre de 226, dont 181 vus, pour un taux de suivi de 80,1 %."
Ituri,09-06-2026,"Au total, 78 alertes ont été émises, dont 57 ont fait l'objet d'une enquête (73,1 %). Les alertes validées comprenaient 38 vivants et 11 décédés, pour un total de 49 cas suspects. Pour la recherche des contacts, 4 955 contacts ont été suivis, dont 2 860 observés (57,7 %)."
North-Kivu,09-06-2026,"Au total, 526 alertes ont été émises, dont 505 ont fait l'objet d'une enquête (96,0 %). Les alertes validées comprenaient 50 vivants et 1 décédé, pour un total de 69 cas suspects. Pour la recherche des contacts, 841 contacts ont été suivis, dont 597 observés (71,0 %)."
South-Kivu,09-06-2026,"Au total, 12 alertes ont été émises, toutes ont fait l'objet d'une enquête (100 %). Les alertes validées incluaient 18 vivants, pour un total de 1 cas suspect. Pour la recherche des contacts, 226 contacts ont été suivis, dont 222 vus (98,2 %)."
Ituri,11-06-2026,"143 alertes, 101 enquêtées (70,6%). 33 vivants validés, 12 décédés. 45 cas suspects. Contacts : 4 782 suivis, 830 vus (17,4%)."
North-Kivu,11-06-2026,"266 alertes, 266 enquêtées (100 %). 61 vivants validés, 20 décédés. 113 cas suspects. Contacts : 1 037 suivis, 700 vus (67,5%)."
South-Kivu,11-06-2026,"10 alertes, 10 enquêtées (100%). 6 vivants validés. 10 cas suspects. Contacts : 224 suivis, 185 vus (82,6%)."
Ituri,15-06-2026,"276 alertes, 188 instruites (68,1 %). 131 vivants validés, 45 décédés. 176 cas suspects. Contacts : 5 208 suivis, 3 397 vus (65,2%). 466 nouveaux contacts répertoriés : Rwampara (435), Nyankunde (21), Tchomia (10)."
North-Kivu,15-06-2026,"483 alertes, 483 enquêtes (100 %). 136 vivants validés, 51 décédés. 52 cas suspects. Contacts : 1 187 suivis, 700 vus (59,0%)."
South-Kivu,15-06-2026,"7 alertes, 7 instruites (100%). 7 vivants validés. 7 cas suspects. Contacts : 80 suivis, 74 vus (92,5%)."
Ituri,16-06-2026,"391 alertes, 129 ont fait l'objet d'une enquête (33,0 %). 93 vivants validés, 31 décédés. 124 cas suspects. Contacts : 5 309 suivis, 3 856 vus (72,6%). 371 nouveaux contacts répertoriés : Rwampara (100), Bunia (86), Mongbwalu (81), Nyankunde (54), Aungba (34), Lita (14), Mambasa (2)."
North-Kivu,16-06-2026,"332 alertes, 332 enquêtées (100 %). 44 vivants validés, 11 décédés. 59 cas suspects. Contacts : 1 467 suivis, 974 vus (66,4%)."
South-Kivu,16-06-2026,"14 alertes, 14 enquêtées (100%). 9 vivants validés. 9 cas suspects. Contacts : 80 suivis, 80 vus (100,0%)."
Ituri,18-06-2026,"436 alertes, 159 instruites (36,5%). 119 vivants validés, 30 décédés. 149 cas suspects. Contacts : 5 155 suivis, 3 961 vus (76,8%). 338 nouveaux contacts répertoriés : Bunia (117), Rwampara (102), Mongbwalu (93), Lita (15), Bambu (11)."
North-Kivu,18-06-2026,"681 alertes, 681 enquêtes (100 %). 55 vivants validés, 24 décédés. 79 cas suspects. Contacts : 1 821 suivis, 1 047 vus (57,5%)."
South-Kivu,18-06-2026,"22 alertes, 22 enquêtées (100%). 10 vivants validés. 10 cas suspects. Contacts : 118 suivis, 118 vus (100,0%)."
Ituri,19-06-2026,"233 alertes, 233 enquêtées (100 %). 75 vivants validés, 21 décédés. 96 cas suspects. Contacts : 4 688 suivis, 3 649 vus (77,8%). 333 nouveaux contacts répertoriés : Rwampara (155), Bunia (54), Nyankunde (39), Mongbwalu (29), Lita (20), Aungba (15), Tchomia (13), Nizi (4), Mambasa (4)."
North-Kivu,19-06-2026,"500 alertes, 500 enquêtées (100 %). 40 vivants validés, 26 décédés. 66 cas suspects. Contacts : 1 698 suivis, 778 vus (45,8%)."
