nom,date,provincial_community_engagement_fr
Ituri,07-06-2026,"À Nyankunde ETC, le gouverneur militaire a exhorté au respect de l’isolement. Le Directeur Général de l’INSP a mobilisé 17 chefs de zone de santé et animateurs pour la réponse à la MVE. Dix séances de masse ont touché 1 819 personnes dans 7 zones sur la prévention, les enterrements en toute sécurité et les alertes. Les visites à domicile dans 592 ménages ont sensibilisé 3 738 personnes (1 450 millions, 2 122 F, 65 garçons, 101 filles) via 58 relais."
North-Kivu,08-06-2026,"13 251 personnes sensibilisées sur la MVE via du porte-à-porte et des activités de masse. Les visites à domicile dans 7 589 ménages (3 200 avec deux visites + démonstrations) ont atteint plus de 30 356. 974 relais mobilisés ; briefé 212 acteurs sur RCCE, SBC, infodémie. Quinze alertes (12 validées en 48h, 3 en attente) ; une rumeur s’est clarifiée. Cinquante stations de radio ont diffusé trois formats de prévention."
South-Kivu,08-06-2026,"A l'école primaire de Kabunga, 1 252 enfants (637 garçons, 615 filles) ont été sensibilisés sur la MVE. Plaidoyer auprès de 23 enseignants et d'un directeur visant à dynamiser les efforts des écoles. Quatorze volontaires U-reporter ont reçu des briefings RCCE. Dix radios ont diffusé des messages de prévention, et 640 leaders/relais communautaires se sont engagés à soutenir les actions des zones de santé."
Ituri,08-06-2026,"Un dialogue avec les chefs religieux a touché 177 personnes (80 sur la MVE/CBS, 97 chefs religieux). Deux séances de plaidoyer ont mobilisé 20 personnes. Cinq sensibilisations de masse ont touché 385 personnes dans 7 zones sur la prévention, les enterrements sécurisés et les alertes. Les commentaires comprenaient un message viral sapant la confiance dans les ETC et les chauffeurs de camion refusant de se laver les mains. Des recommandations ciblées ont suivi."
North-Kivu,09-06-2026,"Au total, 11 303 personnes ont été sensibilisées. Au total, 5 080 ménages ont été visités, touchant 24 671 personnes. Au total, 649 relais communautaires ont été mobilisés dans 12 zones de santé sur 20. Au total, 340 personnes ont été informées et 212 étudiants ont été sensibilisés. Au total, 25 alertes ont été signalées et 3 rumeurs ont été clarifiées. Au total, 18 stations de radio ont été mobilisées."
South-Kivu,09-06-2026,"Au total, 399 écoliers de Panzi et Bwindi ont été sensibilisés. Une réunion d'information a été organisée pour 45 chefs communautaires et religieux à Ibanda. Des supports de communication sur Ebola ont été affichés à Bukavu."
Ituri,09-06-2026,Une alerte a été lancée par un guérisseur traditionnel concernant un cas suspect échappé de Mongbwalu. Des témoignages de patients guéris de Nyankunde ont été diffusés. Quinze dialogues communautaires ont touché 125 personnes et neuf sensibilisations de masse ont touché 3 108 personnes. Quatre réunions de plaidoyer à Rwampara ont impliqué 25 personnes.
North-Kivu,11-06-2026,11 853 personnes sensibilisées dans l'espace public. 77 acteurs communautaires clés engagés. 18 radios diffusent 18 émissions et 36 spots. 11 alertes communautaires signalées avec 368 acteurs communautaires impliqués.
South-Kivu,11-06-2026,Plaidoyer auprès de 45 leaders de Katana HZ. Réunion du pilier RCCE à Mitimurhesa HZ. Briefing de 10 membres du pilier RCCE à Katana HZ.
Ituri,11-06-2026,Évaluation des activités de réponse à la MVE dans la ZS de Mongbwalu. Plaidoyer auprès du Maire de la commune Shari pour réguler les prières à la morgue de Balidja (près du CME Nyankunde). Résultat : le maire a promis de convoquer le propriétaire de la morgue.
North-Kivu,15-06-2026,"32 dirigeants communautaires informés sur la RCCE. 20 704 personnes sensibilisées lors de 10 252 visites à domicile (1 305 acteurs communautaires). 51 alertes communautaires collectées à Goma, Karisimbi et Nyiragongo. 9 719 personnes sensibilisées à travers des séances de masse et des causeries éducatives. 18 radios engagées (3 formats produits, 2 diffusés). 2 retours communautaires collectés et clarifiés (100%)."
South-Kivu,15-06-2026,"Appui à la surveillance pour le rééchantillonnage de 6 cas suspects. 32 personnes sensibilisées sur l’importance du prélèvement et de la prévention de la MVE. Réunion de plaidoyer auprès de 75 leaders communautaires et chefs de village (43M,32F) sur leur implication."
Ituri,15-06-2026,"Plaidoyer auprès du vice-président de l'Assemblée provinciale et du président de l'UNADI pour l'implication dans les activités du RCCE. Le nouveau gouverneur militaire a appelé au respect des mesures barrières. Sensibilisation massive de 2,168 personnes (876M,1,292F) à Nyankunde, Aru, Bunia. Visites à domicile de 8,080 ménages par 832 relais communautaires atteignant 8,121M et 11,626F à Bunia, Nyankunde, Rwampara. 12 relais ont mené des causeries pédagogiques dans 16 foyers (278 personnes : 110M,168F). Briefing de 31 personnes sur la surveillance communautaire, l'utilisation des EPI et les procédures de désinfection à Mongbwalu et Nyankunde."
North-Kivu,16-06-2026,"33 708 personnes sensibilisées dans 15 687 foyers par 2 005 relais communautaires (73% de 46 000 foyers, 68% de 23 000 foyers). 1 042 personnes sensibilisées dans les écoles, universités, marchés, centres sportifs et de santé. 488 personnes sensibilisées à l'hygiène des mains à l'occasion de la Journée de l'enfant africain. 18 radios locales (couverture 72%), 3 formats de communication validés. Plaidoyer auprès du Maire de Kimemi pour faciliter l'accès aux quartiers périphériques. 144 membres du CAC (101M,43F) à Matanda AS sensibilisés sur les mesures barrières et le reporting d'alerte communautaire."
South-Kivu,16-06-2026,"La résistance communautaire s'est levée autour des cas confirmés évadés qui ont accepté de revenir pour l'échantillonnage (Mitimurhesa HZ). Sensibilisation massive de 436 écoliers (253M,183F) au Complexe Scolaire les Bâtisseurs. Discussion éducative avec 28 mères lors de la CPN au CS Kavumu. 465 ménages visités, 1 810 personnes sensibilisées, 176 alertes communautaires levées, 22 leaders engagés. 2 radios diffusent des messages sur la MVE dans les ZS de Katana et Mitimurhesa."
Ituri,16-06-2026,"Caravane motorisée organisée pour accompagner la sortie de 7 patients guéris à Rwampara ETC. Le chef du Groupement Tsere, le chef médical et les patients guéris ont sensibilisé les communautés sur la prévention de la MVE et l'adhésion à l'ETC. Visites à domicile de 7 050 ménages par 470 relais communautaires touchant 12 285 personnes (5 029 M, 7 256 F) dans la ZS de Rwampara. 9 relais ont animé des causeries pédagogiques dans 9 foyers (190 personnes). 226 personnes sensibilisées sur la prévention, la prise en charge, les alertes communautaires et les SDB. Dialogue communautaire avec 30 personnes (17M,13F) dans la ZS de Mongbwalu. 132 prestataires ont été informés sur la surveillance communautaire, la notification des alertes, le suivi des cas et la collecte de commentaires à Mongbwalu, Rwampara et Bunia. Formation de 77 personnes dans la ZS de Bunia sur la sensibilisation, la communication sur les risques, la prévention de la MVE, l'importance des SDB et la décontamination des ménages. Spots et messages radio diffusés sur 18 médias."
North-Kivu,18-06-2026,"7 732 ménages visités (48% des 15 990 cibles), 14 949 personnes sensibilisées (9 010F/5 939H). Le plan de rattrapage vise 75% d'ici le 30 juin avec 10 équipes mobiles supplémentaires. 342 chefs religieux et 58 APA impliqués. 18 émissions radio + 8 replays touchant 340 000 auditeurs. Visite conjointe UNICEF/OMS/ZS Katwa. 61 autorités locales mobilisées dans la HZ de Karisimbi. 81 acteurs clés formés (35 RECO, 12 enseignants, 10 guérisseurs traditionnels, 8 pasteurs, 10 pharmaciens, 6 gestionnaires) avec une augmentation des connaissances de 32% (cible >50%)."
South-Kivu,18-06-2026,"Plaidoyer auprès de 15 enseignants pour renforcer la sensibilisation en classe et dans la communauté. Briefing de 64 leaders communautaires, relais et PRECO sur les interventions RCCE et les techniques de communication. 748 ménages visités, 5 483 personnes sensibilisées sur la prévention, la décontamination des ménages et l'importance des SDB. 2 émissions de radio dans la ZS de Miti-Murhesa. 64 dirigeants engagés."
Ituri,18-06-2026,"Dialogue communautaire avec 46 personnes (8 millions, 38F) à Mongbwalu et Nyankunde sur la prévention de la MVE, la gestion des cas, les alertes communautaires et les SDB. 1 318 personnes touchées (1 288 millions, 30F). Visites à domicile de 685 ménages par relais communautaires touchant 3,186 personnes (1,339M,1,847F) à Aru, Bunia, Nyankunde, Rwampara. Conférences éducatives dans 246 foyers touchant 2 400 personnes (1 049 M, 1 351 F). Briefing de 120 relais communautaires à Bambu et Nia-Nia sur la surveillance communautaire. Formation de 23 prestataires sur la surveillance communautaire à Bunia. Spots et messages radio diffusés sur 18 médias."
Ituri,19-06-2026,"Dialogue communautaire avec 22 personnes (19 millions, 3F) à Bunia sur la prévention de la MVE, la gestion des cas, les alertes communautaires et les SDB. 5,801 personnes touchées (3,075M,2,726F). Spots et messages radio diffusés sur 18 médias. 4 émissions radiophoniques sur la prévention de la MVE et la surveillance communautaire dans 4 médias différents."
North-Kivu,19-06-2026,"11 735 personnes sensibilisées, 7 732 foyers visités avec 1 631 relais communautaires déployés. 564 leaders communautaires impliqués. 18 émissions de radio et dialogues communautaires menés."
